question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
who acted in the movies directed by the director of [Kings of the Road],Michelle Williams|Peter Boyle|Solveig Dommartin|Ry Cooder|Robert Duvall|Gary Oldman|Bruno Ganz|Juliano Ribeiro Salgado|Wim Wenders|Irène Jacob|Rosalind Chao|Hans Christian Blech|Dean Stockwell|Harry Dean Stanton|John Diehl|Milla Jovovich|Dennis Hopper|Traci Lind|Marilu Henner|Campino|Demi Moore|Otto Sander|Bill Pullman|Compay Segundo|Sebastião Salgado|Andie MacDowell|Jeremy Davies|Frederic Forrest|Senta Berger|Nastassja Kinski|Lou Castel|Henry B. Walthall|Mel Gibson|John Malkovich,3,who acted in the movies directed by the director of [],"
MATCH (m:`movie` {name: 'Kings of the Road'})-[:directed_by]->(d:`director`)<-[:directed_by]-(m2:`movie`)-[:starred_actors]->(a:`actor`)
RETURN a LIMIT 200
","[{'a': 'Bruno Ganz'}, {'a': 'Irène Jacob'}, {'a': 'John Malkovich'}, {'a': 'Bruno Ganz'}, {'a': 'Dennis Hopper'}, {'a': 'Compay Segundo'}, {'a': 'Ry Cooder'}, {'a': 'Solveig Dommartin'}, {'a': 'Marilu Henner'}, {'a': 'Peter Boyle'}, {'a': 'Frederic Forrest'}, {'a': 'Juliano Ribeiro Salgado'}, {'a': 'Sebastião Salgado'}, {'a': 'Wim Wenders'}, {'a': 'Wim Wenders'}, {'a': 'Dean Stockwell'}, {'a': 'Harry Dean Stanton'}, {'a': 'Rosalind Chao'}, {'a': 'Traci Lind'}, {'a': 'Andie MacDowell'}, {'a': 'Bill Pullman'}, {'a': 'Otto Sander'}, {'a': 'Nastassja Kinski'}, {'a': 'Bruno Ganz'}, {'a': 'Campino'}, {'a': 'John Diehl'}, {'a': 'Michelle Williams'}, {'a': 'Jeremy Davies'}, {'a': 'Milla Jovovich'}, {'a': 'Mel Gibson'}, {'a': 'Henry B. Walthall'}, {'a': 'Demi Moore'}, {'a': 'Robert Duvall'}, {'a': 'Gary Oldman'}, {'a': 'Hans Christian Blech'}, {'a': 'Senta Berger'}, {'a': 'Lou Castel'}]",matched,
the films written by the screenwriter of [Palestine Is Still the Issue] were directed by who,John Pilger|Christopher Martin|Sean Crotty|Alan Lowery,3,the films written by the screenwriter of [] were directed by who,"
MATCH (m:`movie` {name: 'Palestine Is Still the Issue'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:directed_by]->(d:`director`)
RETURN d LIMIT 200
","[{'d': 'Sean Crotty'}, {'d': 'John Pilger'}, {'d': 'Christopher Martin'}, {'d': 'John Pilger'}, {'d': 'Alan Lowery'}, {'d': 'John Pilger'}]",matched,
what are the languages spoken in the films directed by the [Babylon A.D.] director,French,3,what are the languages spoken in the films directed by the [] director,,[],error,"Traceback (most recent call last):
  File ""C:\Users\milishah\AppData\Local\Temp\ipykernel_21348\1793241463.py"", line 8, in _correct_row
    row[""neo4j_response""] = query_neo4j_with_cypher(row[""cypher""], None, KG)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\milishah\projects\AS.Explorations\cypher-generation\prepare_evaluation_metaqa.py"", line 82, in query_neo4j_with_cypher
    parsed_neo4j_response = parse_neo4j_response_dict5(neo4j_response)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\milishah\projects\AS.Explorations\cypher-generation\neo4j_processors\neo4j_parsers.py"", line 157, in parse_neo4j_response_dict5
    for record in response:
TypeError: 'NoneType' object is not iterable
"
the films that share directors with the films [Devdas] are written by who,Sanjay Leela Bhansali|Fyodor Dostoevsky,3,the films that share directors with the films [] are written by who,"
MATCH (w:`writer`)<-[:written_by]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: 'Devdas'}) 
WHERE m <> m2 
RETURN w LIMIT 200
","[{'w': 'Fyodor Dostoevsky'}, {'w': 'Sanjay Leela Bhansali'}]",matched,
the movies that share actors with the movie [Abe Lincoln in Illinois] were released in which years,1943|1949|1968|1969|1979|1942|1965|1940|1934|1931|1971|1970|1955|2000|1937|1950|1952|1982|1944|1947|1936,3,the movies that share actors with the movie [] were released in which years,"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Abe Lincoln in Illinois'}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '1955'}, {'yr': '1949'}, {'yr': '1950'}, {'yr': '1947'}, {'yr': '1934'}, {'yr': '1982'}, {'yr': '1936'}, {'yr': '1942'}, {'yr': '1944'}, {'yr': '1937'}, {'yr': '1952'}, {'yr': '1979'}, {'yr': '1952'}, {'yr': '1950'}, {'yr': '1943'}, {'yr': '1955'}, {'yr': '1931'}, {'yr': '1947'}, {'yr': '2000'}, {'yr': '1940'}, {'yr': '1968'}, {'yr': '1969'}, {'yr': '1970'}, {'yr': '1965'}, {'yr': '1971'}]",matched,
what genres are the films written by [The Sun Shines Bright] screenwriters,Comedy,3,what genres are the films written by [] screenwriters,"
MATCH (w:`writer`)<-[:written_by]-(m:`movie` {name: 'The Sun Shines Bright'})-[:written_by]->(w2:`writer`)<-[:written_by]-(m2:`movie`)-[:has_genre]->(g:`genre`)
RETURN g  
",[],unmatched,
which person wrote the films acted by the actors in [The Bourne Legacy],Larry Karaszewski|Steven Millhauser|Ben Affleck|Chuck Palahniuk|Chuck Hogan|Sylvain Chomet|Woody Allen|Scott Alexander|Nick Schou|Zak Penn|Jim Uhls|David McKenna|Tim Boughn|Thomas Harris|Gavin O'Connor|Eric Warren Singer|James Gray|Mark Boal|Tim Blake Nelson|David Benioff|Stuart Blumberg|Peter Landesman|David O. Russell|Gary Webb|Daniel E. Taylor|Kario Salem|Ted Tally|Jacques Tati|Neil Burger,3,which person wrote the films acted by the actors in [],"
MATCH (m:`movie` {name: 'The Bourne Legacy'})-[:starred_actors]->(a:`actor`)<-[:starred_actors]-(m2:`movie`)-[:written_by]->(w:`writer`)
RETURN w LIMIT 200
","[{'w': 'Tim Boughn'}, {'w': 'Mark Boal'}, {'w': 'Chuck Hogan'}, {'w': 'Ben Affleck'}, {'w': 'Gary Webb'}, {'w': 'Nick Schou'}, {'w': 'Peter Landesman'}, {'w': 'Eric Warren Singer'}, {'w': 'David O. Russell'}, {'w': 'James Gray'}, {'w': 'Zak Penn'}, {'w': 'Larry Karaszewski'}, {'w': 'Scott Alexander'}, {'w': ""Gavin O'Connor""}, {'w': 'Daniel E. Taylor'}, {'w': 'Kario Salem'}, {'w': 'Woody Allen'}, {'w': 'David McKenna'}, {'w': 'Tim Blake Nelson'}, {'w': 'Stuart Blumberg'}, {'w': 'Ted Tally'}, {'w': 'Thomas Harris'}, {'w': 'David Benioff'}, {'w': 'Jacques Tati'}, {'w': 'Sylvain Chomet'}, {'w': 'Steven Millhauser'}, {'w': 'Neil Burger'}, {'w': 'Chuck Palahniuk'}, {'w': 'Jim Uhls'}]",matched,
what languages are the movies that share actors with [Article 99] in,Vietnamese|German|Georgian|Dutch|French|English|Korean,3,what languages are the movies that share actors with [] in,"
MATCH (lang:`language`)<-[:in_language]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Article 99'}) 
WHERE m <> m2 
RETURN lang LIMIT 200
","[{'lang': 'English'}, {'lang': 'Dutch'}, {'lang': 'French'}, {'lang': 'Korean'}, {'lang': 'Vietnamese'}, {'lang': 'Georgian'}, {'lang': 'German'}]",matched,
what genres are the films starred by [The Man Behind the Gun] actors,War|Drama|Western|Comedy|Musical|Adventure,3,what genres are the films starred by [] actors,"
MATCH (g:`genre`)<-[:has_genre]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'The Man Behind the Gun'}) 
RETURN g LIMIT 200
","[{'g': 'Comedy'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Musical'}, {'g': 'Comedy'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Drama'}, {'g': 'Comedy'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Drama'}, {'g': 'Musical'}, {'g': 'Western'}, {'g': 'Musical'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'War'}, {'g': 'Drama'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Drama'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Drama'}, {'g': 'Comedy'}, {'g': 'Western'}, {'g': 'Western'}, {'g': 'Adventure'}, {'g': 'Western'}, {'g': 'Western'}]",matched,
who is listed as director of the films starred by [House of Frankenstein] actors,Catherine Breillat|Nick Grinde|Terry O. Morse|Roy Del Ruth|Gordon Douglas|William Beaudine|Lew Landers|Cecil B. DeMille|Rowland V. Lee|Mario Bava|Terence Fisher|Robert Day|Roy Ward Baker|Jesper Ganslandt|Preston A. Whitmore II|Michael Curtiz|Charles Brabin|Jacques Tourneur|Joseph Pevney|Clark Johnson|William Nigh|Mark Robson|Douglas Sirk|John Ford|Karl Freund|Jerry Warren|Steve Sekely|Roy William Neill|Boris Petroff|Edgar G. Ulmer|J. Searle Dawley|Ulli Lommel|James McTeigue|Michael Winner|Paul Harrison|Roger Corman|James Whale|Charles Lamont|Robert Wise|Stephen Sommers|Edward Dmytryk,3,who is listed as director of the films starred by [] actors,"
MATCH (d:`director`)<-[:directed_by]-(m:`movie`)-[:starred_actors]->(a:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'House of Frankenstein'}) 
RETURN DISTINCT d LIMIT 200
","[{'d': 'Paul Harrison'}, {'d': 'Roy Ward Baker'}, {'d': 'Edgar G. Ulmer'}, {'d': 'Catherine Breillat'}, {'d': 'Edward Dmytryk'}, {'d': 'William Beaudine'}, {'d': 'Boris Petroff'}, {'d': 'Jerry Warren'}, {'d': 'Steve Sekely'}, {'d': 'Gordon Douglas'}, {'d': 'John Ford'}, {'d': 'Roy Del Ruth'}, {'d': 'Michael Winner'}, {'d': 'Clark Johnson'}, {'d': 'Rowland V. Lee'}, {'d': 'Charles Brabin'}, {'d': 'William Nigh'}, {'d': 'Robert Wise'}, {'d': 'Charles Lamont'}, {'d': 'Cecil B. DeMille'}, {'d': 'James Whale'}, {'d': 'J. Searle Dawley'}, {'d': 'Mario Bava'}, {'d': 'Nick Grinde'}, {'d': 'Jesper Ganslandt'}, {'d': 'Douglas Sirk'}, {'d': 'Roy William Neill'}, {'d': 'Joseph Pevney'}, {'d': 'Mark Robson'}, {'d': 'Jacques Tourneur'}, {'d': 'Robert Day'}, {'d': 'Terry O. Morse'}, {'d': 'Terence Fisher'}, {'d': 'Stephen Sommers'}, {'d': 'Karl Freund'}, {'d': 'James McTeigue'}, {'d': 'Ulli Lommel'}, {'d': 'Lew Landers'}, {'d': 'Roger Corman'}, {'d': 'Preston A. Whitmore II'}, {'d': 'Michael Curtiz'}]",matched,
the movies written by the screenwriter of [Fierce Creatures] were directed by who,Terry Gilliam|John Cleese|Joseph McGrath|Terry Jones|Charles Crichton,3,the movies written by the screenwriter of [] were directed by who,"
MATCH (m:`movie` {name: 'Fierce Creatures'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:directed_by]->(d:`director`)
RETURN d LIMIT 200
","[{'d': 'Joseph McGrath'}, {'d': 'John Cleese'}, {'d': 'Charles Crichton'}, {'d': 'Terry Jones'}, {'d': 'Terry Gilliam'}]",matched,
who directed films that share actors with the film [Jacob's Ladder],Lasse Hallström|Thomas Schlamme|Frank Darabont|Steve Oedekerk|John Mackenzie|Henry Bean|John Sayles|Peter Howitt|Isabel Coixet|Bill Fishman|Brian De Palma|Ethan Coen|Fernando Trueba|Spike Lee|Eddie Murphy|Luis Valdez|Stuart Blumberg|Mark Pellington|Michel Gondry|Tony Bill|Ron Shelton|Clint Eastwood|Tim Robbins|Willard Huyck|Michael Lehmann|Robert Altman|Bob Giraldi|James Glickenhaus|Fred Schepisi|John Leekley|Roger Donaldson|Gil Kenan,3,who directed films that share actors with the film [],"
MATCH (d:`director`)<-[:directed_by]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: ""Jacob's Ladder""}) 
WHERE m <> m2 
RETURN d LIMIT 200
","[{'d': 'Luis Valdez'}, {'d': 'John Sayles'}, {'d': 'Lasse Hallström'}, {'d': 'Spike Lee'}, {'d': 'John Mackenzie'}, {'d': 'John Leekley'}, {'d': 'Michael Lehmann'}, {'d': 'James Glickenhaus'}, {'d': 'Fernando Trueba'}, {'d': 'Eddie Murphy'}, {'d': 'Bob Giraldi'}, {'d': 'Steve Oedekerk'}, {'d': 'Fred Schepisi'}, {'d': 'Tony Bill'}, {'d': 'Peter Howitt'}, {'d': 'Gil Kenan'}, {'d': 'Clint Eastwood'}, {'d': 'Isabel Coixet'}, {'d': 'Ethan Coen'}, {'d': 'Tim Robbins'}, {'d': 'Stuart Blumberg'}, {'d': 'Bill Fishman'}, {'d': 'Henry Bean'}, {'d': 'Michel Gondry'}, {'d': 'Brian De Palma'}, {'d': 'Willard Huyck'}, {'d': 'Robert Altman'}, {'d': 'Roger Donaldson'}, {'d': 'Ron Shelton'}, {'d': 'Mark Pellington'}, {'d': 'Thomas Schlamme'}, {'d': 'Frank Darabont'}]",matched,
the movies that share writers with the movie [Candy] were in which languages,Italian,3,the movies that share writers with the movie [] were in which languages,"
MATCH (lang:`language`)<-[:in_language]-(m:`movie`)-[:written_by]->(:`writer`)<-[:written_by]-(m2:`movie` {name: 'Candy'}) 
WHERE m <> m2 
RETURN lang LIMIT 200
",[{'lang': 'Italian'}],matched,
who directed movies for the writer of [Crossing Over],Paul Glickler|Renny Harlin|Wayne Kramer|Peter Hyams,3,who directed movies for the writer of [],"
MATCH (w:`writer`)<-[:written_by]-(m:`movie` {name: 'Crossing Over'})-[:directed_by]->(d:`director`) RETURN d  
",[{'d': 'Wayne Kramer'}],unmatched,
who directed the movies written by the writer of [Where the Truth Lies],Atom Egoyan|John Irvin,3,who directed the movies written by the writer of [],"
MATCH (m:`movie` {name: 'Where the Truth Lies'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:directed_by]->(d:`director`)
RETURN d LIMIT 200
","[{'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'John Irvin'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}, {'d': 'Atom Egoyan'}]",matched,
who starred movies for the writer of [Snow White and the Seven Dwarfs],Emily Browning|Winston Hibler|Roberto Benigni,3,who starred movies for the writer of [],"
MATCH (w:`writer`)<-[:written_by]-(m:`movie` {name: 'Snow White and the Seven Dwarfs'})-[:starred_actors]->(a:`actor`) RETURN a  
",[],unmatched,
who acted in the films directed by the director of [The Love Parade],Kay Francis|Carole Lombard|Felix Bressart|Genevieve Tobin|Frank Morgan|Charles Ruggles|Charles Boyer|Julie Christie|Leighton Meester|Maurice Chevalier|Ruggero Raimondi|Pola Negri|Claudette Colbert|Burgess Meredith|Marlene Dietrich|Gene Tierney|Jennifer Jones|Herbert Marshall|Ronny Graham|Lana Turner|Miriam Hopkins|Merle Oberon|Don Ameche|Romola Garai|Stephen Rea|Charles Laughton|Warren Beatty|Emil Jannings|Margaret Sullavan|Sam Neill|Marjorie Main|Greta Garbo|Gary Cooper|George Raft|Katie Cassidy|Leopold von Ledebur|Jack Benny|Robert Stack|Joseph Schildkraut|Fredric March|Plácido Domingo|Charles Coburn|Harry Liedtke|Faith Esham|Jeanette MacDonald|Selena Gomez|James Stewart|Julia Migenes|Fernando Lamas|Melvyn Douglas|Edward Everett Horton,3,who acted in the films directed by the director of [],"
MATCH (m:`movie` {name: 'The Love Parade'})-[:directed_by]->(d:`director`)<-[:directed_by]-(m2:`movie`)-[:starred_actors]->(a:`actor`) 
RETURN a LIMIT 200
","[{'a': 'Jeanette MacDonald'}, {'a': 'Maurice Chevalier'}, {'a': 'Fernando Lamas'}, {'a': 'Lana Turner'}, {'a': 'Emil Jannings'}, {'a': 'Warren Beatty'}, {'a': 'Julie Christie'}, {'a': 'Marjorie Main'}, {'a': 'Charles Coburn'}, {'a': 'Gene Tierney'}, {'a': 'Don Ameche'}, {'a': 'Genevieve Tobin'}, {'a': 'Jeanette MacDonald'}, {'a': 'Maurice Chevalier'}, {'a': 'Charles Ruggles'}, {'a': 'Stephen Rea'}, {'a': 'Romola Garai'}, {'a': 'Sam Neill'}, {'a': 'Edward Everett Horton'}, {'a': 'Herbert Marshall'}, {'a': 'Marlene Dietrich'}, {'a': 'Melvyn Douglas'}, {'a': 'Margaret Sullavan'}, {'a': 'Joseph Schildkraut'}, {'a': 'Frank Morgan'}, {'a': 'James Stewart'}, {'a': 'Miriam Hopkins'}, {'a': 'Fredric March'}, {'a': 'Gary Cooper'}, {'a': 'Felix Bressart'}, {'a': 'Jack Benny'}, {'a': 'Carole Lombard'}, {'a': 'Robert Stack'}, {'a': 'Ronny Graham'}, {'a': 'Leopold von Ledebur'}, {'a': 'Pola Negri'}, {'a': 'Harry Liedtke'}, {'a': 'Faith Esham'}, {'a': 'Julia Migenes'}, {'a': 'Ruggero Raimondi'}, {'a': 'Plácido Domingo'}, {'a': 'Leighton Meester'}, {'a': 'Katie Cassidy'}, {'a': 'Selena Gomez'}, {'a': 'Jeanette MacDonald'}, {'a': 'Jennifer Jones'}, {'a': 'Charles Boyer'}, {'a': 'Maurice Chevalier'}, {'a': 'Miriam Hopkins'}, {'a': 'Claudette Colbert'}, {'a': 'Merle Oberon'}, {'a': 'Burgess Meredith'}, {'a': 'Melvyn Douglas'}, {'a': 'Kay Francis'}, {'a': 'Miriam Hopkins'}, {'a': 'Herbert Marshall'}, {'a': 'Charles Ruggles'}, {'a': 'Greta Garbo'}, {'a': 'Melvyn Douglas'}, {'a': 'George Raft'}, {'a': 'Gary Cooper'}, {'a': 'Charles Laughton'}]",matched,
