question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
how popular is [The Wizard of Oz],famous,1,how popular is [],"
MATCH (wizardMovie:`movie`)-[:has_imdb_votes]->(imdbVotes:`imdbvotes`) 
WHERE toLower(wizardMovie.name)='the wizard of oz' 
RETURN imdbVotes LIMIT 1
",[{'imdbVotes': 'famous'}],matched,
can you name a film directed by [Jonathan English],Ironclad,1,can you name a film directed by [],"
MATCH (jonathanDirector:`director`)<-[:directed_by]-(movie:`movie`) 
WHERE toLower(jonathanDirector.name)='jonathan english' 
RETURN movie LIMIT 1
",[{'movie': 'Ironclad'}],matched,
can you describe movie [Sleeper] in a few words,futuristic|woody allen,1,can you describe movie [] in a few words,"
MATCH (sleeperMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(sleeperMovie.name)='sleeper' 
RETURN tag.name LIMIT 200
","[{'tag.name': 'woody allen'}, {'tag.name': 'futuristic'}]",matched,
what are some words that describe movie [Dominick and Eugene],robert m. young,1,what are some words that describe movie [],"
MATCH (dominickMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(dominickMovie.name)='dominick and eugene' 
RETURN tag LIMIT 200
",[{'tag': 'robert m. young'}],matched,
who was the director of [The Bothersome Man],Jens Lien,1,who was the director of [],"
MATCH (bothersomeMan:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(bothersomeMan.name)='the bothersome man' 
RETURN director LIMIT 200
",[{'director': 'Jens Lien'}],matched,
what was the rating of [Toy Soldiers],good,1,what was the rating of [],"
MATCH (toySoldiers:`movie`)-[:has_imdb_rating]->(rating:`imdbrating`) 
WHERE toLower(toySoldiers.name)='toy soldiers' 
RETURN rating LIMIT 1
",[{'rating': 'good'}],matched,
what is a movie written by [Norman Bogner],Privilege,1,what is a movie written by [],"
MATCH (normanWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(normanWriter.name)='norman bogner' 
RETURN movie LIMIT 200
",[{'movie': 'Privilege'}],matched,
which words describe movie [The Lady Vanishes],bd-r|alfred hitchcock|train,1,which words describe movie [],"
MATCH (movie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(movie.name)='the lady vanishes' 
RETURN tag LIMIT 200
","[{'tag': 'train'}, {'tag': 'alfred hitchcock'}, {'tag': 'bd-r'}, {'tag': 'cybill shepherd'}, {'tag': 'herbert lom'}, {'tag': 'remake'}]",matched,
what words describe [Algiers],own,1,what words describe [],"
MATCH (algiersMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(algiersMovie.name)='algiers' 
RETURN tag LIMIT 200
",[{'tag': 'own'}],matched,
who directed the film [Abandon],Stephen Gaghan,1,who directed the film [],"
MATCH (abandonMovie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(abandonMovie.name)='abandon' 
RETURN director LIMIT 200
",[{'director': 'Stephen Gaghan'}],matched,
what movies can be described with [james parrott],The Music Box|Pardon Us|Two Tars,1,what movies can be described with [],"
MATCH (jamesParrottTag:`tag`)<-[:has_tags]-(movie:`movie`) 
WHERE toLower(jamesParrottTag.name)='james parrott' 
RETURN movie LIMIT 200
","[{'movie': 'Two Tars'}, {'movie': 'Pardon Us'}, {'movie': 'The Music Box'}]",matched,
what is the genre for the movie [Catacombs],Horror,1,what is the genre for the movie [],"
MATCH (catacombsMovie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(catacombsMovie.name)='catacombs' 
RETURN genre LIMIT 200
",[{'genre': 'Horror'}],matched,
which films can be described by [grief],The Queen,1,which films can be described by [],"
MATCH (movie:`movie`)-[:has_tags]->(griefTag:`tag`) 
WHERE toLower(griefTag.name)='grief' 
RETURN movie LIMIT 200
",[{'movie': 'The Queen'}],matched,
[Paul Cotter] directed which movies,Bomber,1,[] directed which movies,"
MATCH (paulDirector:`director`)<-[:directed_by]-(movie:`movie`) 
WHERE toLower(paulDirector.name)='paul cotter' 
RETURN movie LIMIT 200
",[{'movie': 'Bomber'}],matched,
which movies was [Max Ophüls] the writer of,The Earrings of Madame de...|Lola Montès|La Ronde|Le Plaisir|Everybody's Woman,1,which movies was [] the writer of,"
MATCH (maxWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(maxWriter.name)='max ophüls' 
RETURN movie  
","[{'movie': 'The Earrings of Madame de...'}, {'movie': 'Lola Montès'}, {'movie': 'La Ronde'}, {'movie': 'Le Plaisir'}, {'movie': ""Everybody's Woman""}]",matched,
what films did [Dennis Iliadis] direct,The Last House on the Left|+1,1,what films did [] direct,"
MATCH (dennisDirector:`director`)<-[:directed_by]-(movie:`movie`) 
WHERE toLower(dennisDirector.name)='dennis iliadis' 
RETURN movie LIMIT 200
","[{'movie': '+1'}, {'movie': 'The Last House on the Left'}]",matched,
what films can be described by [han dynasty],Red Cliff,1,what films can be described by [],"
MATCH (movie:`movie`)-[:has_tags]->(hanDynastyTag:`tag`) 
WHERE toLower(hanDynastyTag.name)='han dynasty' 
RETURN movie LIMIT 200
",[{'movie': 'Red Cliff'}],matched,
"what is the primary language in the film [Bread, Love and Dreams]",Italian,1,what is the primary language in the film [],"
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(movie.name)='bread, love and dreams' 
RETURN language LIMIT 1
",[{'language': 'Italian'}],matched,
what type of film is [Baby Boom],Comedy,1,what type of film is [],"
MATCH (babyBoomMovie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(babyBoomMovie.name)='baby boom' 
RETURN genre LIMIT 200
",[{'genre': 'Comedy'}],matched,
the film [Lockout] starred which actors,Guy Pearce|Maggie Grace|Vincent Regan|Joseph Gilgun,1,the film [] starred which actors,"
MATCH (lockoutMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(lockoutMovie.name)='lockout' 
RETURN actor LIMIT 200
","[{'actor': 'Joseph Gilgun'}, {'actor': 'Vincent Regan'}, {'actor': 'Maggie Grace'}, {'actor': 'Guy Pearce'}]",matched,
who in the world wrote [The Life Aquatic with Steve Zissou],Wes Anderson|Noah Baumbach,1,who in the world wrote [],"
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(movie.name)='the life aquatic with steve zissou' 
RETURN writer LIMIT 200
","[{'writer': 'Noah Baumbach'}, {'writer': 'Wes Anderson'}]",matched,
what movies did [Seton I. Miller] write,The Adventures of Robin Hood|The Sea Hawk|Here Comes Mr. Jordan|Kid Galahad|Murders in the Zoo|Murder on a Honeymoon,1,what movies did [] write,"
MATCH (setonWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(setonWriter.name)='seton i. miller' 
RETURN movie  
","[{'movie': 'Kid Galahad'}, {'movie': 'Murders in the Zoo'}, {'movie': 'Here Comes Mr. Jordan'}, {'movie': 'The Sea Hawk'}, {'movie': 'Murder on a Honeymoon'}, {'movie': 'The Adventures of Robin Hood'}]",matched,
what was the popularity rating of [Doctor Zhivago],famous,1,what was the popularity rating of [],"
MATCH (doctorZhivago:`movie`)-[:has_imdb_rating]->(imdbrating:`imdbrating`) 
WHERE toLower(doctorZhivago.name)='doctor zhivago' 
RETURN imdbrating LIMIT 1
",[],unmatched,
which words describe film [Repast],mikio naruse,1,which words describe film [],"
MATCH (repastMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(repastMovie.name)='repast' 
RETURN tag LIMIT 200
",[{'tag': 'mikio naruse'}],matched,
what does [Scott Adkins] act in,The Legend of Hercules|Assassination Games|Ninja,1,what does [] act in,"
MATCH (scottAdkins:`actor`)<-[:starred_actors]-(movie:`movie`) 
WHERE toLower(scottAdkins.name)='scott adkins' 
RETURN movie LIMIT 200
","[{'movie': 'The Legend of Hercules'}, {'movie': 'Ninja'}, {'movie': 'Assassination Games'}]",matched,
what movies did [Dominic West] star in,The Awakening|28 Days,1,what movies did [] star in,"
MATCH (dominic:`actor`)<-[:starred_actors]-(movie:`movie`) 
WHERE toLower(dominic.name)='dominic west' 
RETURN movie LIMIT 200
","[{'movie': '28 Days'}, {'movie': 'The Awakening'}]",matched,
how would people rate [Eight Below],good,1,how would people rate [],"
MATCH (eightBelowMovie:`movie`)-[:has_imdb_rating]->(rating:`imdbrating`) 
WHERE toLower(eightBelowMovie.name)='eight below' 
RETURN rating LIMIT 1
",[{'rating': 'good'}],matched,
"who is the director of [Lust, Caution]",Ang Lee,1,who is the director of [],"
MATCH (lustCaution:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(lustCaution.name)='lust, caution' 
RETURN director LIMIT 200
",[{'director': 'Ang Lee'}],matched,
"what is the main language in [Welcome Back, Mr. McDonald]",Japanese,1,what is the main language in [],"
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(movie.name)='welcome back, mr. mcdonald' 
RETURN language LIMIT 1
",[{'language': 'Japanese'}],matched,
which films are about [production i.g],Dead Leaves,1,which films are about [],"
MATCH (movie:`movie`)-[:has_tags]->(productionTag:`tag`) 
WHERE toLower(productionTag.name)='production i.g' 
RETURN movie LIMIT 200
",[{'movie': 'Dead Leaves'}],matched,
can you give a few words describing what [Kids Return] is about,japanese|takeshi kitano,1,can you give a few words describing what [] is about,"
MATCH (kidsReturn:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(kidsReturn.name)='kids return' 
RETURN tag.name LIMIT 200
","[{'tag.name': 'takeshi kitano'}, {'tag.name': 'japanese'}]",matched,
what is the language spoken in the film [13 Assassins],Japanese,1,what is the language spoken in the film [],"
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(movie.name)='13 assassins' 
RETURN language LIMIT 200
",[{'language': 'Japanese'}],matched,
what rating would people give [White Banners],good,1,what rating would people give [],"
MATCH (whiteBanners:`movie`)-[:has_imdb_rating]->(rating:`imdbrating`) 
WHERE toLower(whiteBanners.name)='white banners' 
RETURN rating LIMIT 1
",[{'rating': 'good'}],matched,
[Michael Patrick King] was the director on which movies,Sex and the City|Sex and the City 2,1,[] was the director on which movies,"
MATCH (michaelDirector:`director`)<-[:directed_by]-(movie:`movie`) 
WHERE toLower(michaelDirector.name)='michael patrick king' 
RETURN movie LIMIT 200
","[{'movie': 'Sex and the City 2'}, {'movie': 'Sex and the City'}]",matched,
the film [My Life Without Me] was directed by who,Isabel Coixet,1,the film [] was directed by who,"
MATCH (myLifeMovie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(myLifeMovie.name)='my life without me' 
RETURN director LIMIT 200
",[{'director': 'Isabel Coixet'}],matched,
what movies are about [noah baumbach],The Squid and the Whale|Frances Ha|Greenberg|Margot at the Wedding|Kicking and Screaming,1,what movies are about [],"
MATCH (noahTag:`tag`)<-[:has_tags]-(movie:`movie`) 
WHERE toLower(noahTag.name)='noah baumbach' 
RETURN movie LIMIT 200
","[{'movie': 'The Squid and the Whale'}, {'movie': 'Kicking and Screaming'}, {'movie': 'Frances Ha'}, {'movie': 'Margot at the Wedding'}, {'movie': 'Greenberg'}]",matched,
"who is listed as director for [South of Heaven, West of Hell]",Dwight Yoakam,1,who is listed as director for [],"
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(movie.name)='south of heaven, west of hell' 
RETURN director LIMIT 200
",[{'director': 'Dwight Yoakam'}],matched,
which person wrote the movie [All You Need Is Cash],Eric Idle,1,which person wrote the movie [],"
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(movie.name)='all you need is cash' 
RETURN writer LIMIT 200
",[{'writer': 'Eric Idle'}],matched,
what films are about [marco brambilla],Demolition Man|Excess Baggage,1,what films are about [],"
MATCH (movie:`movie`)-[:has_tags]->(marcoTag:`tag`) 
WHERE toLower(marcoTag.name)='marco brambilla' 
RETURN movie LIMIT 200
","[{'movie': 'Demolition Man'}, {'movie': 'Excess Baggage'}]",matched,
[Maurice Tourneur] was the director of which films,The Last of the Mohicans|The Blue Bird,1,[] was the director of which films,"
MATCH (mauriceDirector:`director`)<-[:directed_by]-(movie:`movie`) 
WHERE toLower(mauriceDirector.name)='maurice tourneur' 
RETURN movie LIMIT 200
","[{'movie': 'The Blue Bird'}, {'movie': 'The Last of the Mohicans'}]",matched,
who directed [Clay Pigeons],David Dobkin,1,who directed [],"
MATCH (clayPigeons:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(clayPigeons.name)='clay pigeons' 
RETURN director LIMIT 200
",[{'director': 'David Dobkin'}],matched,
what did [Timothy Linh Bui] direct,Powder Blue|Green Dragon,1,what did [] direct,"
MATCH (timothyDirector:`director`)<-[:directed_by]-(movie:`movie`) 
WHERE toLower(timothyDirector.name)='timothy linh bui' 
RETURN movie  
","[{'movie': 'Green Dragon'}, {'movie': 'Powder Blue'}]",matched,
which screenwriter wrote the script for [The 11th Hour],Leila Conners|Nadia Conners|Leonardo DiCaprio,1,which screenwriter wrote the script for [],"
MATCH (movie:`movie`)-[:written_by]->(screenwriter:`writer`) 
WHERE toLower(movie.name)='the 11th hour' 
RETURN screenwriter LIMIT 200
","[{'screenwriter': 'Leonardo DiCaprio'}, {'screenwriter': 'Nadia Conners'}, {'screenwriter': 'Leila Conners'}]",matched,
who acted in [The Return of Frank James],Henry Fonda|Gene Tierney,1,who acted in [],"
MATCH (frankJamesMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(frankJamesMovie.name)='the return of frank james' 
RETURN actor LIMIT 200
","[{'actor': 'Gene Tierney'}, {'actor': 'Henry Fonda'}]",matched,
what is the primary language in [Hana],Japanese,1,what is the primary language in [],"
MATCH (hanaMovie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(hanaMovie.name)='hana' 
RETURN language LIMIT 1
",[{'language': 'Japanese'}],matched,
can you give a few words describing [Begin Again],music|mark ruffalo|john carney,1,can you give a few words describing [],"
MATCH (beginAgainMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(beginAgainMovie.name)='begin again' 
RETURN tag.name LIMIT 200
","[{'tag.name': 'john carney'}, {'tag.name': 'mark ruffalo'}, {'tag.name': 'music'}]",matched,
what was the genre of the movie [Charleston],Comedy,1,what was the genre of the movie [],"
MATCH (charlestonMovie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(charlestonMovie.name)='charleston' 
RETURN genre LIMIT 200
",[{'genre': 'Comedy'}],matched,
when was [The Fifth Element] released,1997,1,when was [] released,"
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(movie.name)='the fifth element' 
RETURN year LIMIT 1
",[{'year': '1997'}],matched,
[Cezary Pazura] appears in which movies,Kiler,1,[] appears in which movies,,,error,"Traceback (most recent call last):
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa.py"", line 141, in run_flow
    cypher = generate_cypher_for_question(question, config_name)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\prepare_evaluation_metaqa.py"", line 70, in generate_cypher_for_question
    response = run_single_query(config, question)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\cypher_gen\experiment_utils.py"", line 26, in run_single_query
    model_response = run_model(openai_runner, query_formatter_func, model_response_parser_func, query)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\cypher_gen\run.py"", line 71, in run_model
    output = model_response_parser_func(responses)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\cypher_gen\formatters.py"", line 54, in parse_model_response2
    raise ValueError(f""No codeblock found in model responses {responses}"")
ValueError: No codeblock found in model responses ['Error:Requests to the Chatcompletions_Create Operation under Azure OpenAI API version 2023-03-15-preview have exceeded token rate limit of your current OpenAI S0 pricing tier. Please retry after 60 seconds. Please go here: https://aka.ms/oai/quotaincrease if you would like to further increase the default rate limit.']
"
which movies are about [mimi leder],Deep Impact|Pay It Forward|The Peacemaker,1,which movies are about [],"
MATCH (mimiTag:`tag`)<-[:has_tags]-(movie:`movie`) 
WHERE toLower(mimiTag.name)='mimi leder' 
RETURN movie LIMIT 200
","[{'movie': 'The Peacemaker'}, {'movie': 'Deep Impact'}, {'movie': 'Pay It Forward'}]",matched,
when was the movie [Bride of the Monster] released,1955,1,when was the movie [] released,"
MATCH (brideMovie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(brideMovie.name)='bride of the monster' 
RETURN year LIMIT 1
",[{'year': '1955'}],matched,
what is the language spoken in [Frozen Land],Finnish,1,what is the language spoken in [],"
MATCH (frozenLand:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(frozenLand.name)='frozen land' 
RETURN language LIMIT 200
",[{'language': 'Finnish'}],matched,
what films did [Chris Columbus] act in,Fog City Mavericks,1,what films did [] act in,"
MATCH (chris:`actor`)<-[:starred_actors]-(movie:`movie`) 
WHERE toLower(chris.name)='chris columbus' 
RETURN movie LIMIT 200
",[{'movie': 'Fog City Mavericks'}],matched,
what sort of film is [Never Been Kissed],Comedy,1,what sort of film is [],"
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(movie.name)='never been kissed' 
RETURN genre LIMIT 200
",[{'genre': 'Comedy'}],matched,
the film [Man with the Gun] was written by who,Richard Wilson,1,the film [] was written by who,"
MATCH (manMovie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(manMovie.name)='man with the gun' 
RETURN writer LIMIT 200
",[{'writer': 'Richard Wilson'}],matched,
"what film genre is [Like Father, Like Son]",Drama,1,what film genre is [],"
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(movie.name)='like father, like son' 
RETURN genre LIMIT 200
",[{'genre': 'Drama'}],matched,
which film did [Virginia Woolf] write,Orlando|Mrs Dalloway,1,which film did [] write,"
MATCH (virginiaWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(virginiaWriter.name)='virginia woolf' 
RETURN movie LIMIT 200
","[{'movie': 'Orlando'}, {'movie': 'Mrs Dalloway'}]",matched,
the director of [Demon Seed] was who,Donald Cammell,1,the director of [] was who,"
MATCH (demonSeedMovie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(demonSeedMovie.name)='demon seed' 
RETURN director LIMIT 200
",[{'director': 'Donald Cammell'}],matched,
is [Harriet Craig] considered good,good,1,is [] considered good,"
MATCH (harrietMovie:`movie`)-[:has_imdb_rating]->(rating:`imdbrating`) 
WHERE toLower(harrietMovie.name)='harriet craig' 
RETURN rating.value >= 7 AS is_good
",[{}],unmatched,
which movie did [Jeremy Leven] write,Don Juan DeMarco|Creator|Girl on a Bicycle|Crazy as Hell,1,which movie did [] write,"
MATCH (jeremyWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(jeremyWriter.name)='jeremy leven' 
RETURN movie  
","[{'movie': 'Girl on a Bicycle'}, {'movie': 'Crazy as Hell'}, {'movie': 'Don Juan DeMarco'}, {'movie': 'Creator'}]",matched,
what movies did [Prakash Raj] act in,Singham|Dabangg 2,1,what movies did [] act in,"
MATCH (prakashRaj:`actor`)<-[:starred_actors]-(movie:`movie`) 
WHERE toLower(prakashRaj.name)='prakash raj' 
RETURN movie LIMIT 200
","[{'movie': 'Singham'}, {'movie': 'Dabangg 2'}]",matched,
what film did [Gerald Clarke] write,Capote,1,what film did [] write,"
MATCH (geraldWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(geraldWriter.name)='gerald clarke' 
RETURN movie LIMIT 200
",[{'movie': 'Capote'}],matched,
what was the genre of [Fantastic Four],Action,1,what was the genre of [],"
MATCH (fantasticFour:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(fantasticFour.name)='fantastic four' 
RETURN genre LIMIT 200
",[{'genre': 'Action'}],matched,
who wrote the movie [Kinsey],Bill Condon,1,who wrote the movie [],"
MATCH (kinseyMovie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(kinseyMovie.name)='kinsey' 
RETURN writer LIMIT 200
",[{'writer': 'Bill Condon'}],matched,
who wrote the film [Harry and Tonto],Paul Mazursky|Josh Greenfeld,1,who wrote the film [],"
MATCH (harryTontoMovie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(harryTontoMovie.name)='harry and tonto' 
RETURN writer LIMIT 200
","[{'writer': 'Josh Greenfeld'}, {'writer': 'Paul Mazursky'}]",matched,
who are the actors in [Electric Dreams],Virginia Madsen|Bud Cort|Lenny von Dohlen,1,who are the actors in [],"
MATCH (electricDreams:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(electricDreams.name)='electric dreams' 
RETURN actor LIMIT 200
","[{'actor': 'Lenny von Dohlen'}, {'actor': 'Bud Cort'}, {'actor': 'Virginia Madsen'}]",matched,
what films did [Selwyn Jepson] write,Stage Fright,1,what films did [] write,"
MATCH (selwynWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(selwynWriter.name)='selwyn jepson' 
RETURN movie  
",[{'movie': 'Stage Fright'}],matched,
